ID,Nome_Item,Categoria,Subcategoria,Compostos_Chave,Fonte_Alimentar,Tipo_Obtencao,Beneficio_Principal,Mecanismo_Acao,Objetivo_Primario,Cronobiologia_Periodo,Momento_Refeicao,Funcao_Cronobiologica,Forma_Consumo,Uso_Pratico,Observacoes
18,Macamidas (Maca Peruana),Alimento Funcional,Raiz,Macamidas,Lepidium meyenii,Matriz Alimentar,Regulação hormonal,Modulação endócrina,Vitalidade Hormonal,Manhã,Independente,Energia Física,Pó,Adicionar a batidos,Uso tradicional para libido
19,Acetogeninas (Graviola),Alimento Funcional,Fruta,Acetogeninas,Annona muricata,Matriz Alimentar,Suporte celular,Atividade citotóxica,Saúde Celular,Qualquer Horário,Independente,Preventivo,Polpa/Chá,Consumo moderado,Toxicidade em altas doses
20,Probióticos (Kefir),Alimento Funcional,Fermentado,Bactérias Probióticas,Kefir de leite/água,Matriz Alimentar,Saúde intestinal,Colonização benéfica,Saúde Intestinal,Noite,Durante a refeição,Diversidade Microbiana,Bebida,Consumo regular,Atenção à lactose
21,DNJ (Folha de Amoreira),Fitoterápico,Chá,1-deoxynojirimycin,Morus alba,Infusão,Controle glicêmico,Inibição de alfa-glucosidase,Controle Glicêmico,Almoço,Antes da refeição,Bloqueio de Carboidratos,Chá,Antes de carbo,Cuidado com hipoglicemiantes
22,Butirato (Batata-Doce Ferm.),Alimento Funcional,Prebiótico,Dextrina resistente,Batata-doce,Matriz Alimentar,Saúde intestinal,Produção de AGCC,Saúde Intestinal,Almoço,Durante a refeição,Nutrição Intestinal,Alimento,Acompanhamento,Processo de fermentação limpo
23,Teobromina (Cupuaçu),Alimento Funcional,Fruta,Teobromina;TCM,Theobroma grandiflorum,Matriz Alimentar,Energia sustentada,Estimulação leve;ação lipídica,Energia Mental,Manhã,Independente,Energia Sustentada,Polpa,Vitaminas,Rico em teobromina
24,Piperlongumina (Piper Longum),Especiaria,Pimenta,Piperlongumina,Piper longum,Matriz Alimentar,Ativação metabólica,Estimulação de termogênese,Metabolismo,Almoço,Durante a refeição,Termogênico,Tempero,Pequenas doses,Evitar em úlceras
25,Marmelide (Bael),Alimento Funcional,Fruta,Marmelide;Fibras,Aegle marmelos,Matriz Alimentar,Regulação intestinal,Normalização do trânsito,Saúde Intestinal,Qualquer Horário,Independente,Regulação Intestinal,Chá/Extrato,Uso medicinal,Tradicional para diarreia
26,Óxido Nítrico (Dulse),Alimento Funcional,Alga,Arginina;Minerais,Palmaria palmata,Matriz Alimentar,Vasodilatação,Aumento de NO,Performance Mitocondrial,Manhã,Independente,Vasodilatação,Alga,Snacks,Alto teor de iodo
27,L-teanina (Guayusa),Alimento Funcional,Chá,Teobromina;L-teanina,Ilex guayusa,Infusão,Foco sem ansiedade,Estímulo via teobromina,Cognição e Foco,Manhã,Independente,Foco Sustentado,Chá,Manhã e tarde,Contém cafeína
28,Vitamina C (Kakadu Plum),Alimento Funcional,Fruta,Vitamina C extrema,Terminalia ferdinandiana,Suplemento/Pó,Antioxidante potente,Suporte ao colágeno,Pele e Imunidade,Manhã,Independente,Antioxidante,Pó,Smoothies,Mais rica fonte de Vit C
29,Fibras Lentas (Algaroba),Alimento Funcional,Leguminosa,Fibras;Polifenóis,Prosopis juliflora,Matriz Alimentar,Saciedade prolongada,Retardo glicêmico,Controle de Apetite,Almoço,Durante a refeição,Saciedade,Farinha,Receitas/Pães,Substituto do cacau
30,Baicalina (Baikal Skullcap),Fitoterápico,Raiz,Baicalina,Scutellaria baicalensis,Extrato/Chá,Neuroproteção,Anti-inflamatório cerebral,Neuroproteção,Noite,Independente,Anti-inflamatório Neural,Chá,Uso noturno,Evitar na gravidez
31,Resveratrol,Composto Bioativo,Polifenol,Resveratrol,Uva roxa (casca),Matriz/Suplemento,Longevidade,Ativação de sirtuínas,Longevidade e Coração,Almoço,Durante a refeição,Anti-inflamatório Lipossolúvel,Cápsula,Com gordura,Ativador SIRT1
32,Quercetina,Composto Bioativo,Flavonoide,Quercetina,Cebola/Frutas vermelhas,Matriz Alimentar,Modulação imune,Estabilização mastocitária,Imunidade,Almoço,Durante a refeição,Modulação Imune,Alimento,Com gordura,Antialérgico natural
33,Curcumina,Composto Bioativo,Polifenol,Curcumina,Cúrcuma longa,Matriz Alimentar,Anti-inflamatório,Inibição de NF-kB,Dor e Inflamação,Almoço,Durante a refeição,Anti-inflamatório,Tempero,Com pimenta e gordura,Alta potência anti-inflamatória
34,Sulforafano,Composto Bioativo,Isotiocianato,Sulforafano,Brócolis/Couve,Matriz Alimentar,Detoxificação celular,Ativação de Nrf2,Detoxificação,Almoço,Durante a refeição,Proteção Celular,Alimento,Preferir cru/vapor,Ativador de fase II detox
35,Alicina,Composto Bioativo,Organossulfurado,Alicina,Alho cru,Matriz Alimentar,Saúde cardiovascular,Ação antimicrobiana,Saúde Cardiovascular,Almoço,Durante a refeição,Cardioproteção,Alimento,Consumir amassado,Pode irritar o estômago
36,Triptofano,Nutriente,Aminoácido,Triptofano,Ovos;Leite;Banana,Matriz Alimentar,Precursor de serotonina,Regulação do sono/humor,Humor e Sono,Noite,Independente,Precursor Neuroquímico,Alimento,Com carboidratos,Ajuda na entrada cerebral
37,Melatonina Dietética,Nutriente,Hormônio,Melatonina,Kiwi;Cereja;Nozes,Matriz Alimentar,Indução do sono,Regulação circadiana,Sono e Reparo,Noite,Independente,Indução do Sono,Alimento,Jantar leve,Apoio ao ciclo natural
38,Berberina,Suplemento Isolado,Alcaloide,Berberina,Berberis aristata,Suplementação,Controle glicêmico,Ativação de AMPK,Controle Glicêmico,Almoço,Antes da refeição,Metabolismo da Glicose,Cápsula,Sob prescrição,Efeito similar à metformina
39,Antocianinas (Morosil),Suplemento Isolado,Extrato,Antocianinas Moro,Citrus sinensis,Suplementação,Gordura visceral,Modulação adipocitária,Gerenciamento de Peso,Manhã,Independente,Metabolismo,Cápsula,Uso diário,Foco em gordura abdominal
40,Glucomanano,Suplemento,Fibra Solúvel,Glucomanano,Raiz de Konjac,Suplementação,Saciedade mecânica,Expansão gástrica,Controle de Apetite,Almoço,Antes da refeição,Saciedade,Pó/Cápsula,Muita água,Formador de gel gástrico
41,Coenzima Q10,Suplemento,Coenzima,CoQ10,Carnes;Soja,Suplementação,Energia celular,Cadeia respiratória,Performance Mitocondrial,Manhã,Durante a refeição,Energia Mitocondrial,Cápsula,Com gordura,Suporte mitocondrial
42,PQQ,Suplemento,Quinona,PQQ,Suplemento isolado,Suplementação,Biogênese mitocondrial,Novas mitocôndrias,Cognição e Energia,Manhã,Independente,Biogênese,Cápsula,Com CoQ10,Saúde celular e cerebral
43,Ácido Alfa-Lipoico,Suplemento,Antioxidante,ALA,Suplemento isolado,Suplementação,Regeneração redox,Reciclagem de antioxidantes,Metabolismo,Manhã,Independente,Cofator Energético,Cápsula,Longe de carbo,Antioxidante universal
44,NMN/NR (NAD+),Suplemento,Nucleotídeo,Precursores NAD+,Suplemento isolado,Suplementação,Longevidade e reparo,Reparo de DNA via SIRT,Longevidade e Energia,Manhã,Independente,Reparo Celular,Cápsula,Consultar médico,Precursor de energia vital
45,Vitaminas B Metiladas,Suplemento,Vitamina B,B2;B6;B9;B12,Ovos/Carnes,Suplementação,Suporte à metilação,Cofatores enzimáticos,Cognição,Manhã,Independente,Base Bioquímica,Cápsula,Formas bioativas,Essencial para metilação
46,Noopept,Nootrópico,Farmacológico,GVS-111,Sintético,Farmacológico,Clareza mental,Estimulação de BDNF,Neuroplasticidade,Manhã,Independente,Neuroplasticidade,Sublingual,Microdoses,Peptídeo cognitivo
47,Fenilpiracetam,Nootrópico,Racetam,Phenylpiracetam,Sintético,Farmacológico,Foco extremo,Modulação dopaminérgica,Foco Extremo,Manhã,Independente,Estimulante,Cápsula,Uso pontual,Estimulante mental e físico
48,Aniracetam,Nootrópico,Racetam,Aniracetam,Sintético,Farmacológico,Criatividade,Modulação de receptores,Criatividade,Manhã,Durante a refeição,Fluidez Mental,Cápsula,Com gordura,Anxiolítico leve e foco
49,Oxiracetam,Nootrópico,Racetam,Oxiracetam,Sintético,Farmacológico,Raciocínio lógico,Aumento colinérgico,Raciocínio,Manhã,Independente,Lógica,Cápsula,Tarefas analíticas,Melhora lógica e memória
50,Semax / Selank,Nootrópico,Peptídeo,Semax;Selank,Sintético,Farmacológico,Regulação emocional,Modulação do eixo HPA,Clareza Mental,Manhã,Independente,Modulação Neural,Spray nasal,Protocolo específico,Peptídeos reguladores
51,Bacosídeos (Bacopa),Fitoterápico,Adaptógeno,Bacosídeos,Bacopa monnieri,Suplementação,Memória longo prazo,Modulação de BDNF,Memória,Almoço,Durante a refeição,Consolidação,Cápsula,Uso por 12 semanas,Melhora retenção de info
52,Inulina / Psyllium,Alimento/Suplemento,Prebiótico,Fibras solúveis,Chicória/Psyllium,Matriz/Suplemento,Saúde intestinal,Fermentação microbiana,Saúde Intestinal,Almoço,Independente,Manutenção Barreira,Pó,Muita água,Saúde da mucosa intestinal
53,Magnésio Treonato,Suplemento,Mineral,Magnésio treonato,Suplemento isolado,Suplementação,Saúde cerebral/sono,Atravessa barreira hemato.,Sono e Cérebro,Noite,Independente,Desativação Neural,Cápsula,Treonato para cérebro,Relaxamento profundo
54,Glicina,Suplemento,Aminoácido,Glicina,Colágeno,Suplementação,Qualidade do sono,Neurotransmissão inibitória,Sono,Noite,Independente,Indução do Sono,Pó,3-5g antes de dormir,Ajuda a baixar temp. corporal
55,Taurina,Suplemento,Aminoácido,Taurina,Peixes/Carnes,Suplementação,Estabilidade neural,Modulação GABAérgica,Relaxamento,Noite,Independente,Relaxamento,Pó/Cápsula,Dose noturna,Cardioprotetor
56,EPA/DHA (Ômega-3),Suplemento,Lipídio,EPA;DHA,Óleo de Peixe,Suplementação,Anti-inflamatório neural,Estrutura de membrana,Saúde Cardiovascular e Neural,Almoço,Durante a refeição,Estrutura Celular,Cápsula,Certificação IFOS,Anti-inflamatório base
57,Vitamina B1 (Tiamina),Alimento,Vitamina B,Tiamina,Grãos/Sementes,Matriz Alimentar,Energia de carbo,Cofator piruvato,Metabolismo Energético,Manhã,Durante a refeição,Produção de Energia,Alimento,Grãos integrais,Fundamental para neurônios
58,Vitamina B2 (Riboflavina),Alimento,Vitamina B,Riboflavina,Ovos/Laticínios,Matriz Alimentar,Suporte redox,Cofator FAD,Metabolismo Oxidativo,Manhã,Durante a refeição,Suporte Redox,Alimento,Consumo diário,Essencial para ciclo de Krebs
59,Vitamina B3 (Niacina),Alimento,Vitamina B,Niacina,Aves/Peixes,Matriz Alimentar,Produção de NAD,Precursor NAD/NADH,Metabolismo Energético,Manhã,Durante a refeição,Produção de Energia,Alimento,Fontes animais,Saúde da pele e energia
60,Vitamina B5 (Pantotênico),Alimento,Vitamina B,Ácido pantotênico,Abacate/Ovos,Matriz Alimentar,Síntese de CoA,Síntese de Coenzima A,Metabolismo Lipídico,Manhã,Durante a refeição,Metabolismo,Alimento,Amplamente distribuído,Saúde adrenal
61,Vitamina B6 (Piridoxina),Alimento,Vitamina B,Piridoxina,Banana/Legumes,Matriz Alimentar,Neurotransmissores,Síntese de GABA/Sero,Equilíbrio Neuroquímico,Manhã,Durante a refeição,Metabolismo Aminoacídico,Alimento,Sensível ao cozimento,Metabolismo de proteínas
62,Vitamina B7 (Biotina),Alimento,Vitamina B,Biotina,Gema de ovo,Matriz Alimentar,Saúde de anexos,Cofator carboxilases,Síntese Lipídica,Manhã,Durante a refeição,Síntese Lipídica,Alimento,Gema cozida,Saúde de cabelo e unha
63,Vitamina B9 (Folato),Alimento,Vitamina B,Folato,Folhas verdes,Matriz Alimentar,Síntese de DNA,Metilação/DNA,Síntese e Reparação de DNA,Almoço,Durante a refeição,Divisão Celular,Alimento,Vegetais escuros,Crucial para fetos/células
64,Vitamina B12 (Cobalamina),Alimento,Vitamina B,Cobalamina,Fígado/Ovos,Matriz Alimentar,Proteção neural,Síntese de mielina,Saúde Neurológica,Manhã,Durante a refeição,Suporte Mielínico,Alimento,Fontes animais,Atenção a vegetarianos
65,Tiamina (B1 Vegetal),Alimento,Vitamina B,Tiamina,Arroz Integral,Matriz Alimentar,Energia estável,Metabolismo de glicose,Metabolismo Energético,Manhã,Durante a refeição,Produção de Energia,Alimento,Grão integral,Substituto para carnes
66,Riboflavina (B2 Vegetal),Alimento,Vitamina B,Riboflavina,Amêndoas,Matriz Alimentar,Proteção oxidativa,Suporte a FAD,Metabolismo Oxidativo,Manhã,Durante a refeição,Suporte Redox,Alimento,Snack saudável,Rico em Vit B2
67,Niacina (B3 Conserva),Alimento,Vitamina B,Niacina,Atum Enlatado,Matriz Alimentar,Energia celular,Precursor NAD,Metabolismo Celular,Manhã,Durante a refeição,Produção de Energia,Alimento,Enlatado (água),Praticidade proteica
68,Complexo B (Fígado),Alimento,Vitamina B,B12;B9;B2,Fígado Bovino,Matriz Alimentar,Multivitamínico natural,Alta densidade nutritiva,Reparo e Hematopoiese,Manhã,Durante a refeição,Suporte Nutricional,Alimento,1x por semana,Superalimento denso
69,Nitratos (Beterraba),Alimento Funcional,Raiz,Nitratos orgânicos,Suco de Beterraba,Matriz Alimentar,Aumento de VO2 Max,Via Nitrato-Nitrito-NO,Performance Aeróbica,Pré-exercício,Antes do exercício,Eficiência Oxidativa,Suco,2h antes do treino,Melhora economia de oxigênio
70,Nitratos (Espinafre),Alimento Funcional,Folha,Nitratos;Folato,Espinafre,Matriz Alimentar,Vasodilatação,Conversão em NO,Performance Aeróbica,Manhã,Durante a refeição,Vasodilatação,Alimento,Saladas,Melhora fluxo sanguíneo
71,Nitratos (Rúcula),Alimento Funcional,Folha,Nitratos,Rúcula,Matriz Alimentar,Performance atlética,Bioavailability de NO,Performance Aeróbica,Pré-exercício,Antes do exercício,Vasodilatação,Alimento,Pré-treino,Alta densidade de nitrato
72,Nitratos (Aipo),Alimento Funcional,Hortaliça,Nitratos,Aipo/Salsão,Matriz Alimentar,Saúde endotelial,Via do óxido nítrico,Performance Aeróbica,Pré-exercício,Antes do exercício,Equilíbrio Hídrico,Suco,Suco verde,Apoio vascular
73,Punicalaginas (Romã),Alimento Funcional,Fruta,Punicalaginas,Suco de Romã,Matriz Alimentar,Recuperação muscular,Antioxidante vascular,Performance e Recuperação,Pós-exercício,Depois do exercício,Recuperação Celular,Suco,Pós-treino,Reduz dano oxidativo
74,Flavonóis (Cacau),Alimento Funcional,Chocolate,Flavonóis,Cacau >70%,Matriz Alimentar,Melhora vascular,Estímulo da eNOS,Performance Aeróbica,Pré-exercício,Durante a refeição,Vasodilatação,Sólido,Pré-treino,Aumento do fluxo periférico
75,EPA/DHA (Salmão),Alimento Funcional,Peixe,Ômega-3,Salmão/Sardinha,Matriz Alimentar,Saúde mitocondrial,Fosfolipídios de membrana,Recuperação e Performance,Almoço,Durante a refeição,Recuperação Mitocondrial,Alimento,2-3x semana,Base anti-inflamatória
76,Sulforafano (Brócolis),Alimento Funcional,Crucífera,Sulforafano,Brócolis,Matriz Alimentar,Proteção celular,Ativação via Nrf2,Recuperação e Saúde Celular,Almoço,Durante a refeição,Proteção Celular,Alimento,Vapor leve,Detox pós-esforço
77,Astaxantina,Composto Bioativo,Carotenoide,Astaxantina,Algas/Krill,Suplementação,Proteção UV e Mitocondrial,Antioxidante de membrana,Pele e Performance,Manhã,Durante a refeição,Proteção Celular,Cápsula,1x ao dia,Altíssima potência antioxidante
78,Espermidina,Composto Bioativo,Poliamina,Espermidina,Germe de Trigo,Matriz Alimentar,Indução de Autofagia,Limpeza celular por autofagia,Longevidade,Manhã,Independente,Reparo Celular,Pó/Alimento,Adicionar em iogurte,Renovação celular profunda
79,Luteína / Zeaxantina,Nutriente,Carotenoide,Luteína;Zeaxantina,Gema de ovo/Couve,Matriz Alimentar,Proteção de luz azul,Filtro pigmentar macular,Saúde Ocular,Manhã,Durante a refeição,Proteção Visual,Alimento,Consumir com gordura,Essencial para usuários de telas
80,Apigenina,Composto Bioativo,Flavonoide,Apigenina,Salsa/Camomila,Matriz Alimentar,Relaxamento e Inibição de CD38,Aumento indireto de NAD+,Sono e Longevidade,Noite,Independente,Relaxamento,Chá/Alimento,Chá concentrado,Pode ajudar a poupar NAD+
81,Antocianinas (Blueberry),Alimento Funcional,Fruta,Antocianinas,Mirtilo,Matriz Alimentar,Saúde endotelial e cognitiva,Ação antioxidante cerebral,Cognição e Coração,Manhã,Independente,Neuroproteção,Fruta,1 xícara ao dia,Melhora memória de curto prazo
82,Magnésio Malato,Suplemento,Mineral,Magnésio;Ácido málico,Suplemento isolado,Suplementação,Produção de ATP,Cofator no ciclo de Krebs,Energia e Performance,Manhã,Independente,Ativação Energética,Cápsula,Para fadiga crônica,Forma de magnésio para energia
83,Urolitina A,Composto Bioativo,Metabólito,Urolitina A,Romã (fermentada),Suplementação,Mitofagia,Limpeza de mitocôndrias velhas,Longevidade e Energia,Manhã,Independente,Recuperação Mitocondrial,Cápsula,Metabólito da romã,Aumenta força muscular em estudos
84,Ácidos Clorogênicos,Alimento Funcional,Polifenol,Ácido clorogênico,Café verde,Matriz Alimentar,Sensibilidade à insulina,Modulação do transporte de glicose,Saúde Metabólica,Manhã,Independente,Modulação Glicêmica,Infusão/Extrato,Antes do café da manhã,Ajuda no controle de peso
85,Boron (Boro),Nutriente,Mineral,Boro,Passas/Nozes,Matriz Alimentar,Saúde óssea e hormonal,Modulação de hormônios esteroides,Saúde Hormonal e Óssea,Manhã,Independente,Suporte Hormonal,Alimento,Lanche de passas,Pode aumentar testosterona livre
